iso;Country/Region;unit;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
CHN;China;MtCO2e;2866.10;3013.46;3141.65;3369.99;3527.20;3924.59;3945.97;3942.74;4061.45;3994.55;4185.16;4390.73;4681.69;5344.61;6099.63;6862.75;7533.82;8134.35;8388.05;8955.38;9776.66;10266.06;10551.52;11033.52;11102.92;10976.57;11028.20;11256.52;11752.80;11953.60;12119.66;12791.58
USA;United States;MtCO2e;5428.40;5379.11;5462.21;5573.08;5665.64;5734.76;5904.89;6164.55;6211.39;6211.89;6375.06;6336.35;6183.84;6248.12;6330.30;6349.58;6259.10;6364.51;6177.47;5760.48;6031.04;5815.39;5598.49;5741.00;5788.13;5678.80;5756.06;5702.26;5915.33;5798.48;5268.61;5564.83
IND;India;MtCO2e;1025.63;1079.89;1103.18;1135.60;1180.19;1246.36;1295.25;1355.73;1384.94;1462.77;1500.33;1748.15;1767.53;1811.82;1901.83;1973.75;2072.27;2219.16;2318.77;2472.50;2582.36;2620.50;2777.35;2841.87;3023.53;3043.88;3118.38;3242.05;3407.73;3385.58;3176.03;3419.89
RUS;Russia;MtCO2e;2631.99;2559.82;2405.59;2216.32;1982.81;1907.38;1864.20;1714.75;1718.38;1747.00;1801.45;1415.11;1421.37;1498.16;1494.87;1519.74;1558.22;1568.83;1571.39;1438.05;1526.56;1698.86;1679.17;1635.68;1630.84;1608.12;1740.17;1773.11;1867.49;1919.68;1836.79;1975.57
BRA;Brazil;MtCO2e;1645.19;1666.21;1676.19;1687.58;1704.41;1731.19;1733.77;1765.51;1801.52;1812.89;1815.40;1908.14;1945.81;1959.32;2007.27;2022.83;2010.41;2049.76;2048.91;2020.63;2128.86;1289.83;1335.01;1356.86;1396.90;1382.60;1465.59;1487.79;1445.49;1467.54;1470.25;1531.51
IDN;Indonesia;MtCO2e;1133.90;1155.42;1176.56;1192.86;1214.15;1250.82;1103.84;2074.64;1306.43;1198.71;1130.23;960.01;1445.36;1111.78;1460.57;1187.78;1613.80;1056.40;1039.74;1439.90;1085.33;1645.82;1667.06;1611.99;1981.44;2020.62;1390.59;1393.73;1648.05;1919.32;1481.59;1484.66
JPN;Japan;MtCO2e;1107.01;1122.45;1135.56;1128.89;1186.59;1201.91;1217.39;1204.63;1158.24;1188.23;1203.08;1159.09;1189.39;1196.15;1186.04;1192.58;1172.07;1207.38;1137.51;1079.94;1137.38;1244.12;1287.52;1303.35;1256.70;1219.55;1227.46;1210.92;1167.48;1126.04;1064.38;1071.59
IRN;Iran;MtCO2e;302.04;329.31;350.97;358.50;390.18;399.98;415.28;433.02;434.94;470.16;497.93;488.24;501.64;537.39;573.01;612.52;653.47;685.73;692.89;714.48;718.63;773.83;773.64;796.15;821.08;819.34;856.89;885.89;880.60;898.34;908.39;952.23
CAN;Canada;MtCO2e;627.95;623.85;638.08;633.93;651.79;667.37;689.15;700.87;717.28;716.44;733.73;959.31;980.53;1002.98;992.88;1006.14;995.43;1027.81;1004.80;970.67;988.74;838.85;838.14;849.47;857.16;857.06;753.91;769.95;788.43;778.44;721.31;733.27
SAU;Saudi Arabia;MtCO2e;238.89;271.95;289.45;286.61;285.62;284.50;299.98;306.16;322.26;326.57;342.87;346.69;364.48;385.36;402.55;422.65;445.14;465.09;504.68;517.50;562.22;593.65;629.86;646.01;689.52;722.94;730.92;724.59;712.36;717.30;708.47;730.64
DEU;Germany;MtCO2e;1097.01;1069.68;1024.28;1015.77;1006.18;1001.85;1031.87;994.72;971.87;933.75;926.20;977.96;961.75;962.83;946.19;924.24;933.02;904.59;907.43;850.93;881.42;840.84;854.06;870.45;829.60;834.28;837.12;819.85;791.24;740.33;684.63;713.29
COD;Democratic Republic of the Congo;MtCO2e;436.84;435.46;435.57;436.88;438.23;438.30;428.66;435.30;437.22;429.39;425.63;422.53;437.07;444.71;448.60;448.33;450.10;442.04;447.66;447.46;451.57;687.19;682.37;685.72;684.82;686.17;686.11;689.24;682.46;687.62;687.81;687.22
MEX;Mexico;MtCO2e;435.34;454.63;457.58;475.02;501.85;481.27;500.56;524.75;558.08;541.69;568.70;476.02;486.49;513.62;520.83;544.90;564.59;576.00;579.79;568.91;585.61;689.57;695.09;682.01;674.88;691.00;699.52;696.73;666.59;677.60;615.58;638.55
KOR;South Korea;MtCO2e;251.21;277.71;299.93;330.09;357.10;388.99;416.56;442.17;376.80;414.56;466.17;459.36;461.57;469.56;495.16;490.22;498.52;508.55;521.33;535.08;586.72;620.42;623.77;623.98;613.45;634.41;649.40;662.97;669.75;654.42;614.66;632.43
AUS;Australia;MtCO2e;543.79;544.83;544.90;547.61;554.49;561.09;563.96;575.46;601.19;641.30;660.32;667.46;663.85;587.61;638.42;601.65;648.12;649.65;620.15;638.51;619.31;659.37;661.95;578.38;595.40;592.53;600.40;646.20;643.14;630.85;580.76;576.40
ZAF;South Africa;MtCO2e;336.73;332.84;329.44;339.88;346.62;359.39;370.66;386.38;394.82;374.35;378.09;411.01;426.27;449.58;478.06;478.23;480.94;502.31;535.26;513.62;536.80;520.90;540.99;551.02;563.22;538.57;538.95;552.19;556.84;563.55;509.29;517.35
TUR;Turkey;MtCO2e;188.50;190.96;198.44;204.73;199.90;214.40;232.11;241.10;242.32;242.20;266.14;218.20;228.49;239.99;246.00;258.46;287.68;317.30;314.46;317.97;328.18;334.29;349.85;340.71;366.06;374.19;432.16;474.47;474.88;462.83;475.93;513.66
PAK;Pakistan;MtCO2e;168.24;171.72;181.31;190.85;197.46;208.26;215.38;222.04;225.82;238.82;241.13;243.60;249.96;259.24;276.63;285.59;304.95;322.16;323.57;335.80;329.42;336.91;341.09;352.91;366.18;380.55;406.90;433.38;429.45;434.26;466.59;488.02
VNM;Vietnam;MtCO2e;Oca.28;May.28;Tem.88;13.28;18.14;26.Nis;33.94;41.66;53.22;57.19;64.91;159.40;175.64;181.16;202.26;211.98;216.02;230.47;239.58;262.65;281.20;244.74;245.94;260.81;274.67;295.57;326.93;335.32;394.39;451.19;464.89;457.05
THA;Thailand;MtCO2e;172.45;183.94;196.51;214.40;229.66;248.12;268.79;278.52;259.40;270.73;271.09;237.01;250.41;260.81;283.62;291.19;294.61;311.96;313.11;309.76;332.07;364.34;388.80;397.96;395.61;398.44;424.58;433.14;434.59;451.55;451.84;449.51
GBR;United Kingdom;MtCO2e;760.98;769.76;751.96;733.58;731.06;723.31;744.78;724.53;722.24;698.37;700.40;710.56;692.32;701.12;695.84;689.74;686.12;670.76;649.85;593.78;606.91;564.04;583.90;567.36;526.94;511.46;490.47;476.81;466.79;450.43;408.53;427.90
ARG;Argentina;MtCO2e;299.58;303.99;309.02;310.06;313.60;316.66;328.47;334.16;339.49;346.83;345.65;387.66;384.72;407.12;422.97;426.35;440.74;453.22;457.72;436.80;442.27;423.22;428.31;438.16;435.80;441.93;409.76;413.92;412.21;408.72;396.76;419.55
NGA;Nigeria;MtCO2e;291.35;308.82;325.13;322.21;317.28;321.92;352.22;344.10;325.29;311.85;325.58;321.88;301.22;323.39;326.60;330.83;318.28;307.76;313.27;300.66;328.62;337.80;341.23;354.79;364.17;357.80;362.60;364.81;373.06;385.56;375.51;380.78
ITA;Italy;MtCO2e;448.84;446.40;443.39;437.43;432.52;457.94;454.52;458.41;469.84;477.39;482.82;481.21;490.53;509.36;521.08;522.43;510.49;503.68;488.61;439.59;448.19;437.64;419.46;387.48;367.80;379.41;396.74;391.50;386.44;377.36;339.49;375.05
MYS;Malaysia;MtCO2e;187.87;198.86;201.49;208.18;216.19;223.29;233.26;244.63;273.85;251.50;262.96;253.99;270.45;279.38;304.18;319.22;315.48;339.66;350.68;345.96;358.59;134.98;135.12;156.98;189.48;173.76;360.82;344.84;367.73;374.08;364.30;366.28
POL;Poland;MtCO2e;425.04;423.16;412.92;413.45;408.31;408.04;422.63;412.17;383.31;372.62;358.95;298.41;291.92;303.35;307.43;308.84;323.20;323.72;317.52;302.71;321.15;361.76;354.78;348.99;335.77;338.93;343.94;357.30;355.53;337.90;321.99;347.67
FRA;France;MtCO2e;472.05;497.08;482.52;463.57;457.83;466.51;486.24;476.89;492.93;483.75;482.15;445.93;438.98;444.16;442.32;443.63;433.79;427.09;421.07;403.20;407.15;395.99;399.64;400.65;367.18;372.53;371.85;375.22;360.73;351.50;314.54;343.14
EGY;Egypt;MtCO2e;137.19;142.74;145.00;150.53;146.85;156.37;163.80;172.46;178.13;187.58;186.92;199.75;205.14;210.20;223.15;243.06;253.87;268.76;278.00;285.18;287.66;296.09;307.09;304.30;309.81;316.27;326.69;336.70;330.85;306.74;294.97;319.69
KAZ;Kazakhstan;MtCO2e;300.83;308.34;311.69;275.62;254.22;225.83;201.42;179.76;180.67;166.69;167.35;166.78;196.66;208.25;227.25;242.29;262.49;274.85;322.71;295.33;315.21;322.72;320.19;335.25;285.88;266.29;281.74;305.53;305.76;293.05;299.53;317.74
COL;Colombia;MtCO2e;220.09;221.32;224.70;229.67;232.37;237.05;237.56;244.14;246.42;234.76;239.43;229.51;227.01;229.91;232.29;233.41;233.39;239.95;241.19;245.16;249.87;231.33;230.11;239.75;243.58;242.82;273.21;268.51;276.84;278.96;272.97;282.82
ESP;Spain;MtCO2e;232.96;239.05;248.90;234.09;247.00;260.72;254.09;275.54;284.99;309.58;326.90;348.61;365.31;374.36;390.43;405.09;399.14;415.36;382.03;345.95;331.01;341.96;335.56;309.13;307.85;318.39;302.82;319.44;312.91;295.49;256.11;273.13
DZA;Algeria;MtCO2e;121.81;125.49;126.26;134.71;137.04;143.38;146.81;145.97;147.77;151.90;161.50;155.56;161.93;175.13;179.09;186.35;193.81;197.34;202.39;204.47;207.34;214.66;233.42;238.10;250.22;260.04;261.74;264.96;273.00;279.46;264.68;272.99
IRQ;Iraq;MtCO2e;98.89;58.88;83.32;109.45;124.24;122.24;120.60;148.41;130.67;116.29;132.77;143.02;132.95;113.75;128.56;124.97;124.35;119.48;134.86;144.43;160.09;169.44;192.30;204.59;202.47;207.92;229.78;244.86;257.97;277.24;247.94;252.98
ARE;United Arab Emirates;MtCO2e;78.65;86.89;85.33;89.61;98.38;103.17;107.63;110.76;112.76;113.79;114.46;128.26;129.96;138.28;146.30;155.56;162.95;173.72;199.56;199.38;206.96;214.44;224.83;236.87;239.30;251.04;258.48;249.51;233.06;246.29;243.50;249.48
BGD;Bangladesh;MtCO2e;109.97;110.18;112.24;113.59;116.15;121.26;121.70;123.98;123.90;127.97;129.32;135.57;139.02;141.01;142.69;147.58;153.50;156.46;164.77;169.25;176.60;182.57;187.23;191.84;196.77;204.78;212.29;221.79;226.34;229.43;225.27;241.60
PHL;Philippines;MtCO2e;96.87;96.76;98.94;104.33;111.34;123.21;131.75;139.83;133.56;139.09;140.25;139.43;141.31;144.27;147.59;148.84;142.26;148.24;151.50;154.33;160.19;161.86;166.88;177.81;185.21;194.22;205.53;222.82;229.33;236.86;226.56;237.60
VEN;Venezuela;MtCO2e;442.56;459.15;461.31;468.97;475.06;502.08;531.42;551.13;551.17;527.52;544.79;493.24;475.46;459.66;484.21;504.96;503.09;498.63;514.75;502.68;506.66;523.81;554.16;556.36;550.98;527.97;433.81;398.16;353.89;301.56;225.72;226.05
UKR;Ukraine;MtCO2e;783.40;738.65;652.40;569.11;479.51;456.11;395.25;371.53;343.79;336.96;326.02;351.49;356.04;380.79;354.48;341.37;348.82;357.94;346.91;292.18;311.65;337.99;330.79;326.34;292.40;243.23;256.93;230.83;242.33;231.48;223.00;222.06
MMR;Myanmar;MtCO2e;205.32;204.73;207.47;210.14;212.78;215.91;211.71;209.38;215.70;220.83;217.72;196.83;196.51;210.50;224.79;214.67;218.56;229.79;214.82;225.73;231.23;200.61;209.68;212.04;219.69;225.87;218.52;233.05;212.43;212.80;222.17;211.92
ETH;Ethiopia;MtCO2e;93.22;93.34;94.23;88.61;89.81;90.64;93.44;97.44;103.17;104.00;100.30;107.54;115.70;114.14;116.43;120.00;124.97;135.29;138.98;142.88;147.88;148.12;153.79;158.13;164.22;167.63;173.97;176.59;179.64;191.35;197.58;192.07
UZB;Uzbekistan;MtCO2e;161.57;162.40;152.39;154.93;151.37;140.59;141.83;145.80;162.44;162.52;169.79;161.69;168.04;160.08;163.63;158.28;168.94;164.15;173.36;160.49;172.11;183.66;168.65;167.43;159.90;154.93;163.64;168.93;174.75;181.04;177.76;189.03
TKM;Turkmenistan;MtCO2e;145.22;136.65;94.69;104.31;85.96;86.79;83.80;69.58;71.39;89.73;112.73;114.77;122.36;138.17;146.08;150.33;151.01;163.60;170.69;130.61;145.52;174.92;183.20;190.95;187.96;193.81;189.05;186.85;189.51;206.71;184.37;188.53
PER;Peru;MtCO2e;104.55;103.41;104.08;105.17;107.53;112.44;116.13;117.07;117.91;122.10;122.69;125.79;127.73;127.69;131.65;133.36;132.66;136.66;141.49;145.58;150.19;178.18;178.06;180.07;184.05;185.66;189.08;186.60;186.94;190.15;179.63;185.94
NLD;Netherlands;MtCO2e;213.78;218.74;218.13;222.48;222.65;225.49;236.29;228.18;228.37;216.25;214.23;215.00;214.66;214.53;216.21;210.54;205.84;205.23;202.53;197.53;208.16;195.27;193.54;192.33;184.89;193.61;194.34;190.30;184.49;178.84;162.07;166.28
TZA;Tanzania;MtCO2e;98.20;98.47;98.57;99.18;99.92;104.11;96.49;96.14;100.35;100.47;97.90;103.29;109.68;118.37;117.39;124.39;118.37;120.48;123.52;125.25;128.96;131.01;135.77;136.48;136.99;144.41;157.01;156.96;156.00;160.65;160.87;165.24
KWT;Kuwait;MtCO2e;40.47;Eki.76;33.66;48.98;56.88;56.50;56.38;59.07;63.74;66.31;72.28;75.27;76.95;82.55;87.92;97.21;100.96;98.92;105.90;105.77;110.00;115.92;120.58;124.96;124.12;128.49;134.31;133.24;137.65;140.20;139.73;148.22
BOL;Bolivia;MtCO2e;114.41;115.56;116.37;115.07;114.15;112.60;111.92;114.40;114.33;120.04;110.37;90.61;97.35;93.39;108.82;102.74;104.45;110.65;104.08;102.12;128.67;113.18;113.54;113.10;113.25;116.92;127.80;125.92;126.33;139.10;131.45;136.84
SDN;Sudan;MtCO2e;69.64;70.50;74.16;76.11;80.79;81.93;87.30;94.98;101.76;105.89;106.28;94.82;100.00;102.11;105.26;110.28;109.40;114.98;115.19;116.73;114.73;117.13;118.97;119.77;120.65;124.02;126.78;126.54;127.25;127.23;126.78;128.82
CMR;Cameroon;MtCO2e;75.52;84.13;83.75;81.09;134.05;133.78;135.30;136.08;140.03;138.87;140.41;125.96;125.80;128.90;125.87;128.39;125.72;126.31;126.62;126.33;126.76;118.53;118.82;120.61;121.50;123.36;125.17;124.55;125.68;126.58;127.95;126.69
